Month,City,Company,Total Monthly Hours
November,Ahmedabad,Indowind Energy,367.2
June,Ahmedabad,Orient Green,1179.0
October,Ahmedabad,Indowind Energy,477.0
December,Ahmedabad,Tata Power Company Ltd.,393.6
May,Ahmedabad,Adani Power Ltd.,672.0
May,Ahmedabad,Orient Green,
May,Ahmedabad,Tata Power Company Ltd.,1290.0
December,Ahmedabad,Tata Power Company Ltd.,310.4
July,Ahmedabad,Tata Power Company Ltd.,1821.0
June,Ahmedabad,Tata Power Company Ltd.,2088.0
March,Ahmedabad,Adani Power Ltd.,
August,Ahmedabad,Tata Power Company Ltd.,708.0
December,Ahmedabad,Indowind Energy,331.2
November,Ahmedabad,Adani Power Ltd.,286.4
December,Ahmedabad,Indowind Energy,361.6
October,Ahmedabad,Orient Green,519.0
July,Ahmedabad,Tata Power Company Ltd.,1506.0
December,Ahmedabad,Orient Green,463.2
September,Ahmedabad,Reliance Energy,642.0
March,Ahmedabad,Reliance Energy,689.0
October,Ahmedabad,Orient Green,700.0
May,Ahmedabad,Reliance Energy,1022.0
May,Ahmedabad,Tata Power Company Ltd.,1150.0
February,Ahmedabad,Reliance Energy,282.4
March,Ahmedabad,Tata Power Company Ltd.,497.0
November,Ahmedabad,Tata Power Company Ltd.,540.0
April,Ahmedabad,Reliance Energy,447.0
August,Ahmedabad,Reliance Energy,1065.0
November,Ahmedabad,Tata Power Company Ltd.,604.8
March,Ahmedabad,Indowind Energy,559.0
May,Ahmedabad,Adani Power Ltd.,676.0
January,Ahmedabad,Indowind Energy,298.4
December,Ahmedabad,Indowind Energy,542.4
November,Ahmedabad,Orient Green,427.2
August,Ahmedabad,Orient Green,861.0
January,Ahmedabad,Indowind Energy,418.4
March,Ahmedabad,Adani Power Ltd.,407.0
January,Ahmedabad,Reliance Energy,334.4
December,Ahmedabad,Tata Power Company Ltd.,437.6
March,Ahmedabad,Reliance Energy,533.0
November,Ahmedabad,Adani Power Ltd.,224.0
May,Ahmedabad,Adani Power Ltd.,1264.0
March,Ahmedabad,Reliance Energy,613.0
January,Ahmedabad,Tata Power Company Ltd.,364.0
May,Ahmedabad,Indowind Energy,1134.0
July,Ahmedabad,Reliance Energy,1101.0
January,Ahmedabad,Orient Green,246.4
July,Ahmedabad,Tata Power Company Ltd.,1515.0
February,Ahmedabad,Orient Green,407.2
June,Ahmedabad,Reliance Energy,2217.0
December,Ahmedabad,Indowind Energy,313.6
November,Ahmedabad,Indowind Energy,417.6
August,Ahmedabad,Reliance Energy,451.5
December,Ahmedabad,Indowind Energy,412.8
March,Ahmedabad,Reliance Energy,513.0
December,Ahmedabad,Indowind Energy,436.0
September,Ahmedabad,Indowind Energy,556.8
February,Ahmedabad,Adani Power Ltd.,352.8
September,Ahmedabad,Adani Power Ltd.,516.0
March,Ahmedabad,Reliance Energy,524.0
May,Ahmedabad,Orient Green,1116.0
November,Ahmedabad,Orient Green,360.8
March,Ahmedabad,Adani Power Ltd.,585.0
April,Ahmedabad,Orient Green,975.0
April,Ahmedabad,Tata Power Company Ltd.,1122.0
February,Ahmedabad,Adani Power Ltd.,469.6
January,Ahmedabad,Orient Green,369.6
March,Ahmedabad,Adani Power Ltd.,567.0
March,Ahmedabad,Indowind Energy,482.0
September,Ahmedabad,Adani Power Ltd.,746.4
December,Ahmedabad,Orient Green,329.6
June,Ahmedabad,Adani Power Ltd.,2169.0
February,Ahmedabad,Tata Power Company Ltd.,525.6
December,Ahmedabad,Indowind Energy,321.6
November,Ahmedabad,Adani Power Ltd.,447.2
February,Ahmedabad,Orient Green,312.0
October,Ahmedabad,Orient Green,741.0
August,Ahmedabad,Orient Green,948.0
September,Ahmedabad,Tata Power Company Ltd.,748.8
August,Ahmedabad,Adani Power Ltd.,777.0
May,Ahmedabad,Tata Power Company Ltd.,1352.0
September,Ahmedabad,Tata Power Company Ltd.,507.6
July,Ahmedabad,Indowind Energy,1983.0
December,Ahmedabad,Orient Green,441.6
December,Ahmedabad,Orient Green,328.0
January,Ahmedabad,Tata Power Company Ltd.,404.0
June,Ahmedabad,Orient Green,1260.0
December,Ahmedabad,Reliance Energy,414.4
February,Ahmedabad,Adani Power Ltd.,584.8
June,Ahmedabad,Indowind Energy,1308.0
October,Ahmedabad,Tata Power Company Ltd.,584.0
November,Ahmedabad,Indowind Energy,584.8
December,Ahmedabad,Reliance Energy,530.4
June,Ahmedabad,Tata Power Company Ltd.,1416.0
March,Ahmedabad,Adani Power Ltd.,422.0
December,Ahmedabad,Orient Green,367.2
May,Ahmedabad,Tata Power Company Ltd.,1318.0
July,Ahmedabad,Indowind Energy,1554.0
December,Ahmedabad,Indowind Energy,508.0
November,Ahmedabad,Reliance Energy,322.4
September,Ahmedabad,Orient Green,573.6
April,Ahmedabad,Indowind Energy,640.5
June,Ahmedabad,Tata Power Company Ltd.,1689.0
November,Ahmedabad,Indowind Energy,489.6
July,Ahmedabad,Adani Power Ltd.,1566.0
December,Ahmedabad,Reliance Energy,334.4
March,Ahmedabad,Orient Green,588.0
August,Ahmedabad,Tata Power Company Ltd.,954.0
June,Ahmedabad,Orient Green,2001.0
July,Ahmedabad,Adani Power Ltd.,1662.0
November,Ahmedabad,Adani Power Ltd.,448.0
October,Ahmedabad,Orient Green,441.0
January,Ahmedabad,Orient Green,403.2
June,Ahmedabad,Tata Power Company Ltd.,1473.0
September,Ahmedabad,Adani Power Ltd.,734.4
September,Ahmedabad,Indowind Energy,1033.2
September,Ahmedabad,Adani Power Ltd.,750.0
June,Ahmedabad,Orient Green,2316.0
August,Ahmedabad,Indowind Energy,1014.0
June,Ahmedabad,Orient Green,1503.0
May,Ahmedabad,Reliance Energy,1368.0
November,Ahmedabad,Tata Power Company Ltd.,344.0
December,Ahmedabad,Tata Power Company Ltd.,453.6
September,Ahmedabad,Orient Green,720.0
December,Ahmedabad,Reliance Energy,408.0
June,Ahmedabad,Tata Power Company Ltd.,1734.0
January,Ahmedabad,Indowind Energy,461.6
July,Ahmedabad,Orient Green,1488.0
May,Ahmedabad,Tata Power Company Ltd.,802.0
January,Ahmedabad,Adani Power Ltd.,264.8
June,Ahmedabad,Orient Green,3330.0
February,Ahmedabad,Tata Power Company Ltd.,604.8
January,Ahmedabad,Tata Power Company Ltd.,1017.6
July,Ahmedabad,Indowind Energy,2904.0
January,Ahmedabad,Indowind Energy,1032.0
March,Ahmedabad,Orient Green,998.0
January,Ahmedabad,Adani Power Ltd.,716.8
January,Ahmedabad,Tata Power Company Ltd.,1259.2
December,Ahmedabad,Adani Power Ltd.,592.0
April,Ahmedabad,Reliance Energy,1749.0
August,Ahmedabad,Tata Power Company Ltd.,1959.0
August,Ahmedabad,Indowind Energy,1833.0
December,Ahmedabad,Tata Power Company Ltd.,926.4
August,Ahmedabad,Tata Power Company Ltd.,2211.0
May,Ahmedabad,Indowind Energy,2060.0
June,Ahmedabad,Tata Power Company Ltd.,2580.0
May,Ahmedabad,Adani Power Ltd.,2240.0
November,Ahmedabad,Reliance Energy,1003.2
August,Ahmedabad,Indowind Energy,1344.0
October,Ahmedabad,Reliance Energy,1466.0
January,Ahmedabad,Adani Power Ltd.,697.6
October,Ahmedabad,Indowind Energy,1366.0
September,Ahmedabad,Reliance Energy,1154.4
January,Ahmedabad,Indowind Energy,560.0
February,Ahmedabad,Tata Power Company Ltd.,364.8
June,Ahmedabad,Orient Green,2196.0
December,Ahmedabad,Adani Power Ltd.,937.6
February,Ahmedabad,Orient Green,944.0
April,Ahmedabad,Reliance Energy,1830.0
September,Ahmedabad,Tata Power Company Ltd.,1279.2
September,Ahmedabad,Adani Power Ltd.,1543.2
April,Ahmedabad,Orient Green,966.0
July,Ahmedabad,Indowind Energy,3624.0
June,Ahmedabad,Orient Green,2856.0
November,Ahmedabad,Adani Power Ltd.,798.4
October,Ahmedabad,Indowind Energy,1416.0
December,Ahmedabad,Tata Power Company Ltd.,912.0
March,Ahmedabad,Indowind Energy,914.0
August,Ahmedabad,Indowind Energy,1218.0
February,Ahmedabad,Tata Power Company Ltd.,691.2
September,Ahmedabad,Orient Green,976.8
May,Ahmedabad,Orient Green,2196.0
June,Ahmedabad,Tata Power Company Ltd.,2742.0
November,Ahmedabad,Adani Power Ltd.,384.0
March,Ahmedabad,Orient Green,1394.0
December,Ahmedabad,Tata Power Company Ltd.,1049.6
February,Ahmedabad,Indowind Energy,1136.0
September,Ahmedabad,Orient Green,1101.6
April,Ahmedabad,Indowind Energy,1494.0
February,Ahmedabad,Adani Power Ltd.,745.6
July,Ahmedabad,Orient Green,2196.0
August,Ahmedabad,Orient Green,1086.0
April,Ahmedabad,Tata Power Company Ltd.,1659.0
May,Ahmedabad,Tata Power Company Ltd.,1060.0
July,Ahmedabad,Indowind Energy,3618.0
November,Ahmedabad,Indowind Energy,904.0
July,Ahmedabad,Indowind Energy,2838.0
December,Ahmedabad,Tata Power Company Ltd.,590.4
August,Ahmedabad,Tata Power Company Ltd.,1224.0
July,Ahmedabad,Adani Power Ltd.,3162.0
August,Ahmedabad,Reliance Energy,2061.0
March,Ahmedabad,Indowind Energy,1204.0
July,Ahmedabad,Tata Power Company Ltd.,3774.0
September,Ahmedabad,Tata Power Company Ltd.,1082.4
June,Ahmedabad,Indowind Energy,3600.0
April,Ahmedabad,Indowind Energy,1464.0
February,Ahmedabad,Reliance Energy,636.8
November,Ahmedabad,Reliance Energy,950.4
June,Ahmedabad,Indowind Energy,2412.0
May,Ahmedabad,Orient Green,1140.0
August,Ahmedabad,Tata Power Company Ltd.,1320.0
November,Ahmedabad,Reliance Energy,1150.4
March,Ahmedabad,Tata Power Company Ltd.,1188.0
August,Ahmedabad,Reliance Energy,1695.0
July,Ahmedabad,Adani Power Ltd.,3876.0
October,Ahmedabad,Tata Power Company Ltd.,1196.0
August,Ahmedabad,Reliance Energy,1563.0
July,Ahmedabad,Tata Power Company Ltd.,3282.0
July,Ahmedabad,Indowind Energy,2784.0
October,Ahmedabad,Tata Power Company Ltd.,1178.0
August,Ahmedabad,Orient Green,1452.0
June,Ahmedabad,Reliance Energy,3444.0
September,Ahmedabad,Tata Power Company Ltd.,1521.6
October,Ahmedabad,Indowind Energy,896.0
December,Ahmedabad,Orient Green,1009.6
February,Ahmedabad,Adani Power Ltd.,329.6
March,Ahmedabad,Indowind Energy,712.0
May,Ahmedabad,Tata Power Company Ltd.,2296.0
November,Ahmedabad,Orient Green,1008.0
April,Ahmedabad,Tata Power Company Ltd.,2304.0
July,Ahmedabad,Orient Green,2682.0
September,Ahmedabad,Indowind Energy,936.0
July,Ahmedabad,Orient Green,3108.0
July,Ahmedabad,Tata Power Company Ltd.,2934.0
November,Ahmedabad,Tata Power Company Ltd.,1001.6
December,Ahmedabad,Tata Power Company Ltd.,875.2
May,Ahmedabad,Orient Green,2712.0
February,Ahmedabad,Indowind Energy,667.2
May,Ahmedabad,Orient Green,1592.0
February,Ahmedabad,Adani Power Ltd.,822.4
September,Ahmedabad,Tata Power Company Ltd.,952.8
January,Ahmedabad,Reliance Energy,515.2
February,Ahmedabad,Indowind Energy,894.4
September,Ahmedabad,Orient Green,1394.4
December,Ahmedabad,Indowind Energy,740.8
January,Ahmedabad,Tata Power Company Ltd.,1043.2
May,Ahmedabad,Orient Green,1632.0
January,Ahmedabad,Adani Power Ltd.,995.2
January,Ahmedabad,Orient Green,529.6
February,Ahmedabad,Adani Power Ltd.,414.4
December,Ahmedabad,Tata Power Company Ltd.,1182.4
June,Ahmedabad,Orient Green,3594.0
